Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
116,2002,2016,14,Fuggle,1,0,Chemical,1,4,1,0,0,0
117,2002,2016,14,Fuggle,1,0,Notprune,1,5,1,0,0,0
118,2000,2016,16,Liberty,1,0,Chemical,1,5,1,0,0,0
119,2000,2016,16,Liberty,1,0,Notprune,1,5,1,0,0,0
120,2000,2016,16,Liberty,1,0,Notprune,1,5,1,0,0,0
121,2014,2016,2,Golding,4,0,Mechanic,0,1,0,1,0,0
122,2014,2016,2,Chinook,4,0,Mechanic,0,1,0,1,0,0
123,2014,2016,2,Mt.Hood,2,0,Mechanic,0,1,0,1,0,0
124,1992,2016,24,Nugget,4,0,Mechanic,0,1,0,1,0,0
125,1992,2016,24,Nugget,4,0,Mechanic,0,1,0,1,0,0
126,1992,2016,24,Nugget,4,0,Mechanic,0,1,0,1,0,0
127,2016,2016,0,Crystal,0,0,Mow_chem,1,5,1,0,0,0
128,2014,2016,2,Cascade,1,0,Chemical,1,3,1,0,0,0
129,2008,2016,8,Willamette,3,0,Chemical,1,5,1,1,0,0
130,2008,2016,8,Centennial,3,0,Chemical,1,3,1,1,0,0
131,2000,2016,16,Willamette,3,0,Chemical,1,5,1,1,0,0
132,2002,2016,14,Willamette,3,0,Chemical,1,5,1,1,0,0
133,2004,2016,12,Willamette,3,0,Mechanic,0,2,0,1,0,0
134,2013,2016,3,Simcoe,4,0,Chemical,1,2,0,1,0,0
135,2014,2016,2,Centennial,3,0,Chemical,1,2,0,1,0,0
136,1998,2016,18,Willamette,3,0,Chemical,1,5,1,1,0,0
137,2013,2016,3,Cascade,1,0,Mow_chem,1,1,0,0,0,0
138,1993,2016,23,Nugget,4,0,Mow_chem,1,3,1,1,0,0
139,1999,2016,17,Magnum,4,0,Notprune,1,5,1,1,0,0
140,1999,2016,17,Magnum,4,0,Notprune,1,5,1,1,0,0
141,2000,2016,16,Sterling,3,0,Mechanic,0,2,0,1,0,0
